year,duration_sec,duration_min,danceability,energy,tempo,acousticness,loudness,valence,track_count,duration_sec_ma5,duration_sec_ma10,danceability_ma5,acousticness_ma5,duration_yoy_pct
1940,182.20023597194387,3.036670599532398,0.5217363226452906,0.3101204108216433,108.29811422845691,0.8468833166332664,-13.706504008016033,0.6165052304609218,1996,215.69989197105596,204.03971237554407,0.5229795699255931,0.8693778490130484,-12.351418811978455
1941,200.2027044745057,3.3367117412417624,0.48103964620187306,0.26114346514047865,107.62476586888657,0.8999398022892819,-15.915381893860562,0.48094890738813734,961,207.3314160077196,206.02550428563373,0.5122752194724811,0.8902805052563455,9.880595602156061
1942,219.08808353658537,3.6514680589430895,0.4657348780487805,0.2578049207317073,106.2454237804878,0.8503979335365853,-15.01590731707317,0.47411439024390245,1640,210.81366683665829,209.19468920832992,0.49385858021737244,0.8804850919636624,9.433128843913586
1943,195.2462463768116,3.254104106280193,0.466172463768116,0.2743019806763285,106.166307568438,0.9160521739130434,-13.585834138486312,0.516541384863124,621,200.92262471417115,210.0257775556885,0.4891366213580923,0.8795439569971674,-10.882306684558884
1944,236.83288612565445,3.9472147687609076,0.507713612565445,0.2605150130890052,107.26129842931937,0.8934234362565445,-14.48619502617801,0.5492448952879582,764,206.7140312971002,214.8565924363699,0.48847938464590096,0.8813393325257444,21.299584765682788
1945,188.99158823529413,3.1498598039215686,0.5219470081135903,0.22746191734279916,108.20466835699797,0.6983963569979715,-16.987849898580123,0.49304868154158216,1972,208.07230174977025,211.88609686041315,0.488521521739561,0.8516419405986854,-20.20044541659538
1946,238.3314045174538,3.972190075290897,0.40590848733744006,0.2037618480492813,102.84287816563997,0.9250890075290896,-17.69658042436687,0.376970636550308,1461,215.6980417583599,211.51472888303974,0.47349528996667434,0.8566717816466468,26.106884831684507
1947,232.09392625556262,3.8682321042593766,0.4732837889383344,0.2582447298156389,109.47002415766052,0.9157922994278449,-14.59385505403687,0.5073893197711379,1573,218.29921030215533,214.5564385694068,0.47500507214458515,0.8697506548248988,-2.6171449266285784
1948,208.6399782962561,3.4773329716042687,0.44244975583288115,0.24995976668475314,107.43446337493216,0.9361174715138362,-15.260389039609333,0.4480594139989148,1843,220.97795668604422,210.9502907001077,0.4702605305575382,0.8737637143450574,-10.1053691226202
1949,222.73339577039275,3.7122232628398795,0.4426450654582075,0.2450982527693857,108.96497029204431,0.9091643454179255,-15.549623363544814,0.43018680765357503,1986,218.1580586149919,212.43604495604603,0.4572468211360906,0.8769118961773336,6.754897881615407
1950,208.1992553083923,3.469987588473205,0.4910994944388271,0.32573639534883725,112.07426137512638,0.8662148236602629,-13.456807381193125,0.5539294742163802,1978,221.99959202961153,215.03594688969088,0.45107731840113807,0.9104755895097918,-6.525353062449213
1951,213.17854298642533,3.5529757164404225,0.4599096028154852,0.25053705882352945,109.19510759175465,0.9048766170437406,-15.926742584213173,0.4327847159376571,1989,216.96901972340584,216.33353074088285,0.46187754149674703,0.9064331114127219,2.3915972565115684
1952,218.39941021750127,3.639990170291688,0.4633566514921598,0.2510205918057663,107.77761709661102,0.8621526737481032,-16.03887708649469,0.43820931922104195,1977,214.23011651579355,216.2646634089744,0.4598921140075121,0.8957051862767736,2.4490585018251076
1953,215.37773886010365,3.589628981001727,0.43595492227979277,0.26499162694300515,109.21294559585492,0.8921548310880829,-15.501839896373056,0.4223866321243523,1930,215.57766862856306,218.27781265730363,0.45859314729689443,0.886912658191623,-1.3835528925597251
1954,220.92737884130983,3.6821229806884967,0.46691244332493703,0.2594979445843829,108.73294105793451,0.867431810881612,-15.57013047858942,0.44589042821158686,1985,215.21646524274647,216.68726192886916,0.4634466228702404,0.8785661512843603,2.5767008283111847
1955,219.84537292400603,3.6640895487334344,0.4903471061902365,0.28733638147961754,110.56785405133367,0.8447554473628586,-14.346535480624055,0.47244443885254156,1987,217.54568876586922,219.77264039774036,0.46329614522052226,0.8742742760248795,-0.48975637287625995
1956,213.5122273410115,3.558537122350192,0.4848011517275914,0.30640568352528796,111.8105403104657,0.8199417526289434,-14.127600400600901,0.5063610415623435,1997,217.61242563678647,217.29072268009614,0.4682744550029435,0.8572873031419199,-2.8807272578730614
1957,240.64715707853927,4.010785951308988,0.5075116058029014,0.296771935967984,112.30761730865433,0.7900054527263632,-14.161662831415708,0.5144500750375188,1999,222.06197500899407,218.1460457623938,0.47710544586509174,0.8428578589375719,12.708841116714664
1958,212.955166,3.5492527666666667,0.4815849,0.311422635,112.86902400000001,0.7778312150000001,-14.278112499999999,0.4953149,2000,221.57746043697335,218.5775645327682,0.4862314414091332,0.8199931357199555,-11.50730032081847
